Start log
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(home),true,0), WINNER(iiwaGo(home),0)
iiwa, (iiwaGo(robot_pen_cup.2),true,0), WINNER(iiwaGo(robot_pen_cup.2),0)
